multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
subtract,40,30
multiply,10,20
divide,100,5
add,100,200
